Tracker;Allocation Sites
69;org.graalvm.compiler.phases.graph.ReentrantNodeIterator#apply:149
70;org.graalvm.compiler.phases.common.inlining.info.elem.InlineableGraph#trackParameterUsages:182
71;org.graalvm.compiler.phases.common.inlining.InliningUtil#inline:313
72;org.graalvm.compiler.phases.common.inlining.InliningUtil#inline:314
73;org.graalvm.compiler.phases.common.inlining.InliningUtil#inline:315
74;org.graalvm.compiler.phases.graph.ReentrantBlockIterator#mergeStates:193
75;org.graalvm.compiler.virtual.phases.ea.PartialEscapeBlockState#materializeBefore:188
76;org.graalvm.compiler.virtual.phases.ea.PartialEscapeBlockState#materializeBefore:189
77;org.graalvm.compiler.virtual.phases.ea.PartialEscapeBlockState#materializeBefore:190
78;org.graalvm.compiler.virtual.phases.ea.PartialEscapeBlockState#materializeBefore:191
79;org.graalvm.compiler.virtual.phases.ea.PartialEscapeBlockState#materializeBefore:192
80;org.graalvm.compiler.nodes.virtual.CommitAllocationNode#<init>:75
81;org.graalvm.compiler.nodes.virtual.CommitAllocationNode#<init>:76
82;org.graalvm.compiler.lir.alloc.lsra.Interval#newSplitChild:1086
83;org.graalvm.compiler.nodes.cfg.Block#delete:361
84;org.graalvm.compiler.phases.schedule.SchedulePhase$Instance#checkKillsBetween:313
85;org.graalvm.compiler.phases.schedule.SchedulePhase$Instance#selectLatestBlock:278
86;org.graalvm.compiler.replacements.DefaultJavaLoweringProvider#lowerCommitAllocationNode:676
87;org.graalvm.compiler.phases.common.inlining.walker.InliningData#getTypeCheckedInlineInfo:302
88;org.graalvm.compiler.phases.common.inlining.walker.InliningData#getTypeCheckedInlineInfo:303
89;org.graalvm.compiler.phases.common.inlining.walker.InliningData#getTypeCheckedInlineInfo:349
90;org.graalvm.compiler.phases.common.inlining.walker.InliningData#getTypeCheckedInlineInfo:350
91;org.graalvm.compiler.replacements.SnippetTemplate#<init>:840
92;org.graalvm.compiler.replacements.SnippetTemplate#<init>:841
93;org.graalvm.compiler.replacements.SnippetTemplate#<init>:842
94;org.graalvm.compiler.nodes.memory.MemoryMapNode#<init>:68
95;org.graalvm.compiler.replacements.SnippetTemplate#<init>:931
96;org.graalvm.compiler.replacements.SnippetTemplate#<init>:959
97;org.graalvm.compiler.replacements.nodes.ExplodeLoopNode#findLoopBegin:53
98;org.graalvm.compiler.lir.alloc.lsra.LinearScanWalker#setUsePos:146
99;org.graalvm.compiler.lir.alloc.lsra.MoveResolver#resolveMappings:355
100;org.graalvm.compiler.lir.constopt.DefUseTree#<init>:49
101;org.graalvm.compiler.java.BytecodeParser#adjustProfileForInvocationPlugin:1956
102;org.graalvm.compiler.phases.common.inlining.walker.InliningData#getTypeCheckedInlineInfo:323
103;org.graalvm.compiler.phases.common.inlining.walker.InliningData#getTypeCheckedInlineInfo:324
104;org.graalvm.compiler.phases.common.inlining.info.MultiTypeGuardInlineInfo#inlineMultipleMethods:251
105;org.graalvm.compiler.nodes.IfNode#removeIntermediateMaterialization:1174
106;org.graalvm.compiler.nodes.IfNode#removeIntermediateMaterialization:1175
107;org.graalvm.compiler.lir.constopt.ConstantLoadOptimization$Optimization#addUsageToBlockMap:185
108;org.graalvm.compiler.lir.constopt.ConstantTree#getOrInitList:113
109;org.graalvm.compiler.lir.constopt.ConstantTreeAnalyzer#process:110
110;org.graalvm.compiler.replacements.GraphKit#<init>:108
111;org.graalvm.compiler.nodes.cfg.LocationSet#initList:48
112;org.graalvm.compiler.nodes.FrameState#duplicateWithVirtualState:328
113;org.graalvm.compiler.virtual.phases.ea.EffectsClosure#doMergeWithoutDead:396
114;org.graalvm.compiler.java.BytecodeParser#genSwitch:4302
115;org.graalvm.compiler.nodes.extended.IntegerSwitchNode#lambda$tryOptimizeEnumSwitch$0:259
116;org.graalvm.compiler.nodes.extended.IntegerSwitchNode#tryOptimizeEnumSwitch:263
117;org.graalvm.compiler.nodes.extended.IntegerSwitchNode#tryOptimizeEnumSwitch:264
118;org.graalvm.compiler.nodes.extended.IntegerSwitchNode#tryRemoveUnreachableKeys:177
119;org.graalvm.compiler.nodes.extended.IntegerSwitchNode#tryRemoveUnreachableKeys:178
120;org.graalvm.compiler.nodes.virtual.LockState#asList:54
121;org.graalvm.compiler.replacements.DefaultJavaLoweringProvider#finishAllocatedObjects:812
122;org.graalvm.compiler.loop.phases.LoopTransformations#findUnswitchable:419
123;org.graalvm.compiler.lir.amd64.phases.StackMoveOptimizationPhase$Closure#process:103
124;org.graalvm.compiler.lir.amd64.phases.StackMoveOptimizationPhase$Closure#process:104
125;org.graalvm.compiler.loop.phases.LoopTransformations#findUnswitchable:433
126;org.graalvm.compiler.nodes.java.TypeSwitchNode#simplify:157
